gene	hap1_time1_n_observed	hap1_time2_n_observed	torin_time1_n_observed	torin_time2_n_observed
EPC2	24	24	24	24
EPS15L1	24	24	24	24
ERC2	24	24	24	24
ERLIN2	24	24	24	24
ESRP2	24	24	24	24
ESYT3	24	24	24	24
ETS2	24	24	24	24
ETV4	24	24	24	24
EXOC6B	24	24	24	24
EXTL1	24	24	24	24
FAM49B	24	24	24	24
FAM78B	24	24	24	24
FAM102B	24	24	24	24
FAM117B	24	24	24	24
MVB12B	24	24	24	24
FAM126B	24	24	24	24
FAM160A2	24	24	24	24
FAM160B2	24	24	24	24
FAM161B	24	24	24	24
FARP2	24	24	24	24
ZYX	24	24	24	24
FBN2	24	24	24	24
FBXO32	24	24	24	24
FEM1C	24	24	24	24
FES	24	24	24	24
FGF2	24	24	24	24
FHOD3	24	24	24	24
FLNC	24	24	24	24
FMN2	24	24	24	24
FNDC3B	24	24	24	24
FOXF2	24	24	24	24
FOXK2	24	24	24	24
FOXN3	24	24	24	24
FSCN2	24	24	24	24
FUBP3	24	24	24	24
FUCA2	24	24	24	24
FUNDC2	24	24	24	24
GALNTL6	24	24	24	24
GATAD2B	24	24	24	24
GDPD3	24	24	24	24
GFOD2	24	24	24	24
GLIS3	24	24	24	24
GMFG	24	24	24	24
GNAQ	24	24	24	24
GNA13	24	24	24	24
GNAS	24	24	24	24
GNB4	24	24	24	24
GNL3L	24	24	24	24
GNPDA2	24	24	24	24
GOLGA7B	24	24	24	24
GPATCH2L	24	24	24	24
GPC6	24	24	24	24
GPR137C	24	24	24	24
GPSM2	24	24	24	24
GREB1L	24	24	24	24
GRPEL2	24	24	24	24
H2AFY2	24	24	24	24
HEATR5B	24	24	24	24
HERC4	24	24	24	24
HEXB	24	24	24	24
HIP1R	24	24	24	24
HNRNPH3	24	24	24	24
SYNCRIP	24	24	24	24
HOOK2	24	24	24	24
HOXB2	24	24	24	24
HOXB7	24	24	24	24
VSNL1	24	24	24	24
HSF4	24	24	24	24
HSP90AB1	24	24	24	24
HSPA12B	24	24	24	24
ICA1L	24	24	24	24
IFRD2	24	24	24	24
IGF2BP3	24	24	24	24
PDZD2	24	24	24	24
IMPDH2	24	24	24	24
INPP4B	24	24	24	24
ISL2	24	24	24	24
WWP2	24	24	24	24
ITGA9	24	24	24	24
JAG2	24	24	24	24
KCND3	24	24	24	24
KDM2B	24	24	24	24
KHDRBS3	24	24	24	24
SRCIN1	24	24	24	24
KIF1C	24	24	24	24
KIF5C	24	24	24	24
STARD9	24	24	24	24
KIFC3	24	24	24	24
KLF11	24	24	24	24
KLF9	24	24	24	24
KLHL3	24	24	24	24
KLHL23	24	24	24	24
KLHL9	24	24	24	24
KSR2	24	24	24	24
LARP1B	24	24	24	24
LBX2	24	24	24	24
LCORL	24	24	24	24
LDB2	24	24	24	24
LETM2	24	24	24	24
LHX9	24	24	24	24
LHX8	24	24	24	24
LMO7	24	24	24	24
LIMK2	24	24	24	24
LIN28B	24	24	24	24
LLGL2	24	24	24	24
LMBR1L	24	24	24	24
TES	24	24	24	24
TRIP6	24	24	24	24
PLPPR4	24	24	24	24
NBEA	24	24	24	24
LRP1B	24	24	24	24
SCRIB	24	24	24	24
LSM14B	24	24	24	24
LYSMD4	24	24	24	24
MAB21L2	24	24	24	24
MACROD2	24	24	24	24
TUSC3	24	24	24	24
MAN1C1	24	24	24	24
MAN2A2	24	24	24	24
MAP2K6	24	24	24	24
MAP3K3	24	24	24	24
WDR62	24	24	24	24
MARCH3	24	24	24	24
MAT2A	24	24	24	24
MCTP2	24	24	24	24
PRDM16	24	24	24	24
MED13L	24	24	24	24
MEIS2	24	24	24	24
MST1R	24	24	24	24
METRNL	24	24	24	24
RNF157	24	24	24	24
MICALL2	24	24	24	24
MIER3	24	24	24	24
MKNK2	24	24	24	24
KMT2B	24	24	24	24
MLLT3	24	24	24	24
MLLT6	24	24	24	24
MLXIPL	24	24	24	24
MMEL1	24	24	24	24
MOB1B	24	24	24	24
TRIOBP	24	24	24	24
MSI2	24	24	24	24
MTMR4	24	24	24	24
MTMR12	24	24	24	24
MTSS1L	24	24	24	24
MTX3	24	24	24	24
MYBL1	24	24	24	24
MYCN	24	24	24	24
NAA16	24	24	24	24
NAB2	24	24	24	24
NAV3	24	24	24	24
NBEAL2	24	24	24	24
NCOA3	24	24	24	24
NCOR2	24	24	24	24
NDEL1	24	24	24	24
NDFIP2	24	24	24	24
