gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_significant	time2_significant	time1_response	time2_response
PNO1	-5.48868896454195	-5.86973761332487	0.451553435744777	-5.37944795281092	-5.1683596133867	0.414591516799325	-0.381048648782918	0.211088339424218	0.812048967443944	0.733981706626072	FALSE	FALSE	None	None
TMED4	-0.556284134064891	-0.349768262717299	0.693517928900974	-0.874178927313688	-1.28293867304891	0.394103993426187	0.206515871347592	-0.408759745735224	0.930763525248449	0.716119130416261	FALSE	FALSE	None	None
TMEM248	-0.247541178722121	-0.179851833293725	0.623594278712037	-0.486016239616423	-0.447984084399536	0.682673807575057	0.0676893454283959	0.0380321552168866	0.905399688236184	0.894518188110608	FALSE	FALSE	None	None
ZNF592	-0.655850004458213	0.946804229894189	0.0152352992106292	-0.515239699614139	1.66464219955994	0.000779150348208525	1.6026542343524	2.17988189917408	0.14725344289026	0.019579837669305	FALSE	FALSE	None	None
DHX16	-4.37826593026907	-3.54331210721206	0.277611670837024	-4.5597563729971	-3.82583750618995	0.359403617121295	0.834953823057011	0.733918866807146	0.671906131035278	0.687034299340832	FALSE	FALSE	None	None
GTF2H3	-4.97225894796009	-5.49530773547936	0.867538019583131	-5.05680551101055	-5.80066519440295	0.429516692738169	-0.52304878751927	-0.743859683392399	0.980973333648874	0.749193153310233	FALSE	FALSE	None	None
RNF114	0.444036798456614	0.0855269394378339	0.460958749211566	0.47512114797374	-0.0832231327798755	0.594883930583728	-0.35850985901878	-0.558344280753615	0.812048967443944	0.850696829678176	FALSE	FALSE	None	None
MTIF2	-4.27755980664167	-2.56177080343062	0.00239727563914907	-4.23068654889291	-3.3349480726172	0.13512125701407	1.71578900321105	0.89573847627571	0.0451211920907046	0.418667435535731	FALSE	FALSE	None	None
NOP9	-5.12059935336733	-5.2927514925768	0.561185932982077	-5.61498311244767	-5.76331020624643	0.83563292039375	-0.172152139209468	-0.148327093798765	0.870189770590253	0.954787693519775	FALSE	FALSE	None	None
AIMP1	0.369660818249164	0.102282864449035	0.588908461067292	-0.175081126803685	0.0319024947821522	0.983435397962285	-0.26737795380013	0.206983621585837	0.888408414161179	1	FALSE	FALSE	None	None
RSF1	0.00522608777460713	-0.803242626981673	0.114947023438879	-0.267022568038321	-1.43510084689066	0.0929478533562106	-0.80846871475628	-1.16807827885234	0.452716378313284	0.344588971493639	FALSE	FALSE	None	None
UBE2Z	0.137806674460966	-0.384414145619972	0.18962956221265	-0.00206892336002174	-1.24992609937043	0.0588160897639302	-0.522220820080938	-1.24785717601041	0.574698718856982	0.267155390652366	FALSE	FALSE	None	None
B4GALT2	-0.022178571624272	-0.438647993398569	0.253964080781965	-0.941259713743967	-1.67679420006448	0.151930010690823	-0.416469421774297	-0.735534486320511	0.645885673717372	0.444215741412306	FALSE	FALSE	None	None
CENPO	-0.564581110570491	-0.269548362323749	0.201679436339622	-1.55472122118286	-1.19189469244052	0.216856638760083	0.295032748246742	0.362826528742337	0.581642493512966	0.53117308408621	FALSE	FALSE	None	None
RPS6KA3	0.93566247115006	0.0739048853039064	0.000695550057788443	0.994263147773141	-0.19690902622849	0.00196295041333822	-0.861757585846153	-1.19117217400163	0.0212737645964373	0.0345672593621568	FALSE	FALSE	None	None
LIG3	-2.99331477411369	-0.980015004357965	0.000577781284796198	-3.86736188242063	-2.82843176705934	0.187268401403014	2.01329976975572	1.03893011536129	0.0185248634001209	0.495134381180708	FALSE	FALSE	None	None
PHF14	0.768365811998596	0.899489673031097	0.187268401403014	0.774250773142087	0.997892716445936	0.345310897182987	0.131123861032501	0.22364194330385	0.569771464739928	0.666547331598	FALSE	FALSE	None	None
PCF11	-2.23867804211331	-2.6164597417639	0.442826121138731	-2.85986846982329	-3.11303018590127	0.677930258130494	-0.377781699650589	-0.253161716077974	0.802611554453787	0.894518188110608	FALSE	FALSE	None	None
ADGRA3	0.604823915156617	0.423975039690148	0.304590816047085	0.671511531031851	0.224899670206721	0.0612792417000994	-0.180848875466469	-0.446611860825129	0.689743158208912	0.270007226776005	FALSE	FALSE	None	None
TMEM245	0.426020589423607	-0.0764227780795756	0.187268401403014	0.486303458285481	-0.299362823972064	0.0502223733334571	-0.502443367503183	-0.785666282257545	0.569771464739928	0.244229930572429	FALSE	FALSE	None	None
CLASP1	-0.567271887118569	-0.683788808047541	0.708799548959661	-1.10006120488574	-0.942278951417443	0.917319569184376	-0.116516920928973	0.157782253468295	0.933420125325645	0.98136272095935	FALSE	FALSE	None	None
R3HDM1	0.238031290624436	0.280890270816247	0.285440870895821	0.479398654959646	0.0345967072219739	0.136974224446085	0.0428589801918116	-0.444801947737672	0.671906131035278	0.418667435535731	FALSE	FALSE	None	None
FKBP5	-1.14461165138116	-1.04712622942439	0.719431856043873	-1.67216484273449	-1.18146452090491	0.371541767789125	0.0974854219567727	0.490700321829577	0.939902768915301	0.695964464044123	FALSE	FALSE	None	None
TP53BP1	-0.362508093218606	-0.116744926806031	0.170878752639544	-0.186705595035159	-0.991484927935184	0.134512080068111	0.245763166412575	-0.804779332900025	0.549426668184264	0.418667435535731	FALSE	FALSE	None	None
ANXA11	0.534365866831608	-0.182520159389048	0.201679436339622	-0.10185798022662	-1.28962922386156	0.228821751919585	-0.716886026220656	-1.18777124363494	0.581642493512966	0.551848052335647	FALSE	FALSE	None	None
KPNA4	-1.13168576965378	-1.78550065132698	0.216856638760083	-1.35843489451512	-2.87730117018535	0.00196295041333822	-0.653814881673198	-1.51886627567022	0.599029419842916	0.0345672593621568	FALSE	FALSE	None	None
FAM91A1	0.442425825745735	0.373499309715739	0.838134776780856	0.480431278818397	0.0113484310649535	0.324548174828994	-0.0689265160299962	-0.469082847753443	0.971208518757278	0.648120474561853	FALSE	FALSE	None	None
LUC7L	0.591167521121894	1.2727993464852	0.00140811946967693	0.701973515158907	1.24240631142696	0.0185537262328588	0.681631825363303	0.540432796268053	0.0316248667368504	0.134909656441303	FALSE	FALSE	None	None
WIZ	-0.366325466169333	-0.74845544417402	0.633325914515613	-0.397868076840004	-1.04251670339568	0.299704605821436	-0.382129978004688	-0.644648626555675	0.909586708861008	0.62740040044435	FALSE	FALSE	None	None
